"ID_reference","cosine_sim","ID_variant","prevalence_reference"
51,0.432343561040813,"85",0.00449406898280094
52,0.627506202411558,"124",0.00540205274561721
53,0.454953306523685,"6",0.00309487357247444
54,0.70988736133951,"3",0.00517212908911702
55,0.712324675948996,"162",0.00410028821289136
56,0.772073226304788,"147",0.00267409236894178
57,0.772737539200643,"164",0.00326009031217888
58,0.848765401529834,"171",0.00526536767381101
59,0.710347737164127,"71",0.00487586318059285
60,0.665263893456426,"84",0.00312086198124975
61,0.630628396132473,"191",0.00372763355547369
62,0.735630324910925,"12",0.00326231816048402
63,0.695704887499648,"120",0.00372352144850712
64,0.54912858374758,"46",0.00526488542684037
65,0.514198689539966,"48",0.00358622853067301
66,0.473984022275142,"106",0.00271838645529843
67,0.353674608715262,"106",0.00199310030977451
68,0.791443389177429,"22",0.00285827315169179
69,0.879112197028469,"40",0.00709512065050763
70,0.374961942075792,"196",0.00394899843428437
71,0.632963525948766,"128",0.00389206429750299
72,0.525994436952869,"185",0.00418902404428091
73,0.506056469866831,"99",0.00272021485475005
74,0.870515012899764,"25",0.00559940841959805
75,0.66661421727256,"200",0.0027051694333697
76,0.720284049628389,"5",0.00645572299747404
77,0.601419612749251,"126",0.00315229634271098
78,0.728909453971883,"139",0.00482253935795953
79,0.585916264682192,"16",0.00424364639255856
80,0.403391254076631,"18",0.00434261909250219
81,0.522516405358278,"55",0.00556387640588405
82,0.522215666117101,"73",0.0034967630446463
83,0.806196026651029,"181",0.00278336187516007
84,0.405536232821039,"166",0.00300406659714851
85,0.632264339298991,"113",0.0038479403758524
86,0.820197566604906,"25",0.00438009970100188
87,0.662563216744804,"39",0.00430854256320299
88,0.653060857796405,"121",0.00436395752906348
89,0.669438225951759,"128",0.0035464665673628
90,0.668414619776236,"197",0.00372226312727386
91,0.703456156110511,"104",0.00436036888527582
92,0.42561354535372,"15",0.00328125623721291
93,0.532408196862174,"84",0.00410556445405566
94,0.296518340249665,"48",0.0021179782094122
95,0.836470562574579,"131",0.00286852799573761
96,0.484323138251226,"153",0.003359786252654
97,0.913869626339985,"195",0.00422293820316112
98,0.787681942428782,"124",0.00465694446246885
99,0.802619424099179,"181",0.00333886797729478
100,0.759213501025474,"154",0.00620990626576192
101,0.56415579591816,"147",0.00360354321228932
102,0.738040453832921,"61",0.00470973361671841
103,0.685456752834297,"161",0.00366918270395938
104,0.609542618928931,"148",0.00376303271067063
105,0.771318605859039,"177",0.0109564382629366
106,0.593927970909986,"174",0.0047635642340462
107,0.756891446333517,"176",0.00364624919413776
108,0.537722922604885,"73",0.00257648533526386
109,0.762302477795688,"8",0.00499601073448552
110,0.551640226759376,"195",0.00470052221218428
111,0.593189630546967,"155",0.00271326934649426
112,0.822859800959037,"75",0.00289238703076914
113,0.857604582166501,"152",0.00396446656239381
114,0.699009090619469,"154",0.0044824999947294
115,0.426295451221884,"29",0.00255212868710966
116,0.750937790175862,"42",0.00295243900668338
117,0.692756901119269,"12",0.00720466349413218
118,0.594498325143065,"84",0.00273912703073972
119,0.451336975455168,"50",0.00277088606934772
120,0.481849452345101,"182",0.00434859930703931
121,0.813456864160232,"89",0.00404637271036611
122,0.635762950562169,"199",0.00295294442696131
123,0.582231381239699,"124",0.00287127626605557
124,0.639242647462635,"28",0.00473873644839268
125,0.401987405576672,"166",0.0041649732375534
126,0.429036920626175,"54",0.00249574817108471
127,0.6615199677213,"182",0.00824634559232309
128,0.625330351573924,"103",0.0030424788292037
129,0.839439308138444,"89",0.00469276232046955
130,0.3410035952683,"93",0.00337892471752991
131,0.63596461174319,"33",0.00651851166998637
132,0.800128405205289,"76",0.00384592201218401
133,0.529843801050564,"84",0.0031190203160442
134,0.696876464507985,"45",0.00365368230044142
135,0.666684888355376,"167",0.00694287336127775
136,0.532813164603649,"9",0.00319969652723794
137,0.835218979943246,"122",0.00456193584996862
138,0.852616540572454,"126",0.00428757864859183
139,0.600516750453155,"174",0.00485151148402506
140,0.586707871588473,"47",0.00544046475769842
141,0.440629692121404,"41",0.00305924266331296
142,0.503911583148068,"81",0.00342180051505972
143,0.549456366014692,"191",0.00411722187564938
144,0.817874179368184,"77",0.00452254430010959
145,0.871044176069427,"39",0.00525586116865821
146,0.704698399691473,"153",0.00471417463902653
147,0.511761550260103,"66",0.00266499064735983
148,0.693339816002126,"197",0.0035913666928444
149,0.370500151854661,"26",0.00437727003151506
150,0.530604739380581,"55",0.00460659005205898
151,0.479259820793681,"165",0.00409850400018632
152,0.575635033064396,"124",0.00439026575535625
153,0.457393790643754,"116",0.0031800417935436
154,0.650732798484142,"104",0.00330648943231373
155,0.782029056355797,"40",0.00561913349057502
156,0.52287722443548,"117",0.00393993501227191
157,0.747184702410911,"130",0.00364701377462434
158,0.710966955913044,"174",0.00362864639216493
159,0.573306781389479,"70",0.00347126859274658
160,0.370956625117142,"52",0.0028021677700354
161,0.6678038900735,"36",0.00298579411474961
162,0.517308860998962,"177",0.00471905978101737
163,0.471400005636972,"34",0.00318817847000219
164,0.638468019035882,"2",0.00323923500981961
165,0.67278174036277,"181",0.00310534383623398
166,0.742288630535473,"113",0.00564543405605924
